12,09,2022,11,44,15,64.039,63.973,52.535,52.636,CW
12,09,2022,11,44,16,64.039,64.196,52.535,52.636,CW
12,09,2022,11,44,17,64.039,64.078,52.535,52.621,CW
12,09,2022,11,44,27,64.539,64.011,52.436,52.518,CW
12,09,2022,11,44,28,64.539,64.174,52.436,52.499,CW
12,09,2022,11,44,29,64.539,64.353,52.436,52.495,CW
12,09,2022,11,44,31,64.539,64.496,52.436,52.467,CW
12,09,2022,11,44,36,65.039,64.626,52.338,52.438,CW
12,09,2022,11,44,36,65.039,64.736,52.338,52.434,CW
12,09,2022,11,44,37,65.039,64.884,52.338,52.422,CW
12,09,2022,11,44,38,65.039,65.015,52.338,52.407,CW
12,09,2022,11,44,39,65.039,65.170,52.338,52.396,CW
12,09,2022,11,44,40,65.039,65.421,52.338,52.389,CW
12,09,2022,11,44,40,65.039,65.688,52.338,52.383,CW
12,09,2022,11,44,41,65.039,65.461,52.338,52.368,CW
12,09,2022,11,44,42,65.039,65.262,52.338,52.359,CW
12,09,2022,11,44,43,65.039,65.095,52.338,52.352,CW
12,09,2022,11,44,46,65.539,65.203,52.239,52.337,CW
12,09,2022,11,44,47,65.539,65.353,52.239,52.326,CW
12,09,2022,11,44,48,65.539,65.467,52.239,52.319,CW
12,09,2022,11,44,52,65.539,65.582,52.239,52.262,CW
12,09,2022,11,44,53,65.539,65.682,52.239,52.246,CW
12,09,2022,11,44,56,66.039,65.791,52.139,52.235,CW
12,09,2022,11,44,57,66.039,66.001,52.139,52.225,CW
12,09,2022,11,44,58,66.039,66.164,52.139,52.216,CW
12,09,2022,11,44,59,66.039,66.302,52.139,52.209,CW
12,09,2022,11,45,00,66.039,66.446,52.139,52.188,CW
12,09,2022,11,45,03,66.039,66.578,52.139,52.159,CW
12,09,2022,11,45,07,66.539,66.472,52.039,52.121,CW
12,09,2022,11,45,08,66.539,66.329,52.039,52.115,CW
12,09,2022,11,45,08,66.539,66.179,52.039,52.110,CW
12,09,2022,11,45,11,66.539,66.064,52.039,52.081,CW
12,09,2022,11,45,12,66.539,66.263,52.039,52.066,CW
12,09,2022,11,45,13,66.539,66.514,52.039,52.055,CW
12,09,2022,11,45,18,67.039,66.638,51.939,52.011,CW
12,09,2022,11,45,19,67.039,66.747,51.939,51.996,CW
12,09,2022,11,45,20,67.039,66.850,51.939,51.989,CW
12,09,2022,11,45,21,67.039,66.992,51.939,51.974,CW
12,09,2022,11,45,23,67.039,67.130,51.939,51.949,CW
12,09,2022,11,45,24,67.039,67.494,51.939,51.945,CW
12,09,2022,11,45,24,67.039,67.741,51.939,51.940,CW
12,09,2022,11,45,27,67.539,67.544,51.838,51.925,CW
12,09,2022,11,45,28,67.539,67.417,51.838,51.916,CW
12,09,2022,11,45,29,67.539,67.093,51.838,51.907,CW
12,09,2022,11,45,29,67.539,66.921,51.838,51.897,CW
12,09,2022,11,45,36,68.039,67.050,51.736,51.841,CW
12,09,2022,11,45,36,68.039,67.235,51.736,51.831,CW
12,09,2022,11,45,37,68.039,67.516,51.736,51.819,CW
12,09,2022,11,45,38,68.039,67.646,51.736,51.813,CW
12,09,2022,11,45,39,68.039,67.759,51.736,51.802,CW
12,09,2022,11,45,40,68.039,67.932,51.736,51.790,CW
12,09,2022,11,45,41,68.039,68.037,51.736,51.769,CW
12,09,2022,11,45,47,68.539,68.241,51.634,51.731,CW
12,09,2022,11,45,47,68.539,68.394,51.634,51.721,CW
12,09,2022,11,45,48,68.539,68.500,51.634,51.709,CW
12,09,2022,11,45,56,69.039,68.682,51.532,51.631,CW
12,09,2022,11,45,57,69.039,68.845,51.532,51.620,CW
12,09,2022,11,45,58,69.039,68.970,51.532,51.610,CW
12,09,2022,11,45,59,69.039,69.136,51.532,51.590,CW
12,09,2022,11,46,00,69.039,69.328,51.532,51.583,CW
12,09,2022,11,46,01,69.039,69.493,51.532,51.577,CW
12,09,2022,11,46,04,69.039,69.629,51.532,51.537,CW
12,09,2022,11,46,06,69.539,69.508,51.429,51.528,CW
